,mails,categories(1:spam;0:ham)
0,"我和新任gf是上个学期好上的,暑假没回家前,感情good.但是暑假发生的一些事我总觉得不大爽,如下: 1,她说怕家里人知道她谈恋爱,所以尽量少回我的短信.这点我理解,但是整个暑假,她只回过我几条.---我的困惑是:各位女生,你们如果想bf了,会不会躲开爸妈偷偷发?多回几条短信就那么难吗? 2,她偶尔会有不开心的时候,但是不会向我倾诉.前段时间,qq上碰到,她说碰到一件小事有点心烦.然后我发现她的个人资料里的自我说明有这样的内容:",0
1,你还很年轻啊 何必那么着急呢 回顾过去，展望未来，发现自己也老大不小了，也该找个MM了。 我毕业于北科大，本科学历，现在在清华工作。今年23，身高180，没钱没权也不不是很帅。脾气不坏，可塑性好。空有远大抱负，可惜缺乏付诸行动的实力和勇气，不知清华有否MM看得起在下，愿来与我共同进步，一起开创美好未来？ 寻MM的标准：积极进取，坚忍不拔，乐观向上，年龄24以下，身高160以上，相貌只要不吓人就行，呵呵。,0
2,换个礼物，有点特色，玫瑰一朵好了，呵呵 早晨兴冲冲的去订了99朵玫瑰，打算26号送mm，到那时我们交往99天。这件事当然瞒着她了，本想正好在初次见面的时间带她到初次见面的地点突然给她。 可是就在刚才她无意中说到曾经有人在她生日的时候送过她99朵玫瑰――这下我就郁闷了：这花送还是不送啊？效果肯定要大打折扣了，计划中的感觉全没了，不是因为她收到过，而是因为她告诉了我！呜呜……,0
3,当然不能完全脱离物质，爱情又不是真空中的东西 但是过分强调　暂时　的物质我觉得不喜欢 因为我觉得像真正的爱情的话　会激发人的能量的　　会在不远的将来得到更好的回报 喜欢那种　　惟汝不争　故天下莫能与争　的感觉 觉得这个和爱情上面的物质问题有很大的相似性 嗯，这个有道理 而且未必放弃现有的事业就是错误的，因为不知道前方等待的是什么 只是觉得完全脱离物质的想法还是不太现实,0
4,同意 每一个男人都是这样，他可以对每个女人说“我爱你”，但他一辈子只会爱上一个女人，只有一个。女人需要的是一个关怀她，爱她，可以让她依靠，保护她一辈子的人，当她遇到一个男人时，爱的死去活来，山盟海誓。 然后因为种种原因的分开，她不会再记得他，或者说不会记得那么深刻。因为当她遇到一个更好的男人时，她会拿两个人来比较，她会觉得遇到更好的是她的幸运。,0
5,"有两位在北京参加会议的美国诗人和评论家,他们愿意到诗社朗诵诗歌.他们在三天后就要回国.一位是美国著名的印第安族诗人Simon Ortiz,他的朗诵水平巨佳.另一位是研究visual poetry的专家,她介绍的visual poetry很像上次介绍的cave writing,很吸引人. 机会非常难得，欢迎各位参加，参加的同学请回复外语系pn03@mails.tsinghua.edu.cn：彭宁。 请今晚之前能够回复，然后确定时间和地点。大概近三天之内。谢谢大家了！",0
6,心痛了，不知道为什么，可能是因为想起了自己， 为什么这个世界有这么多的爱不能圆满？ 我只想做我爱的人身边的那个＂小家伙＂ ...... 真正的爱就那么一次，不想委屈自己，也不能委屈别人。不过是孤单，不过是落寞。 想起小家伙的时候就不觉得孤单了，世界上最近的距离，不是两个人面对面说情话， 而是，小家伙一直在我心里面，在那个夏天，微微笑。换了岁月，不变容颜，沧海桑田，,0
7,另有几本美国原版《读者文摘》（reader\'s digest），5元/本 《近现代国际关系史》复旦大学出版社   原价：40.00   现价：30.00  （很新，因考研转向，基本上没用过） 《3000美金，我周游了世界》  原价：25.00    现价：15.00  （较新） 《我如何获得40国签证》（与上书为同一系列） 原价：28.00    现价：12.00  （有点旧） 以上书刊若全要再作优惠！ 站内联系或手机：13488663224（限短信）,0
8,"因为你老了,心老了. 世界上不是没有美的事物,只是你没有发现美的眼睛. 唉。于我心有戚戚焉。。。 现在的小女孩（23岁以下的）太缺乏责任感了，只看重自己的感受，对于别人的付出和关心根本就没感觉，觉得那你是自愿做的，我当然就受之无愧了。 我今年27，现在对于找个什么样的真的很迷茫，和我差不多大的，条件又合适的已经比较少了，比我小几岁的在交往时有时候真的是挫火，估计是忍不了多久的。唉，迷惘阿。",0
9,你傻阿 人家拖着你，你还这样 给自己留点尊严好不好 GG和我认识两年多了，然后谈了一年半多的恋爱。现在父母催婚姻大事，但GG因我的一些缺点，甚至我的中专学历，认为我不太适合他，可又感觉这一年多了在一起，有些离不开我。 我认为两人相爱就要爱优点和缺点，真正的爱是把对方看成十全十美的，最好的，那样才会全心的投入去爱一个人。我感觉GG可能爱我只有六七分，而我爱他是十分的。 现在GG和我都不知道如何是好，是分还是合？,0
